rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
655;671;910;1072;1030;1064;1038;969;677;351;418;415;42;41;41
859;892;617;1046;949;1124;1103;1062;1094;442;298;406;32;43;35
924;886;921;1051;1100;755;910;913;1100;437;445;426;44;33;41
921;844;905;1129;1088;1136;1021;1048;726;404;449;452;42;43;43
871;834;610;1133;1031;1140;1107;1054;1093;419;304;446;41;44;42
934;886;916;1071;1003;777;1101;1000;1090;449;440;423;44;40;42
907;896;916;1127;1084;1111;1037;974;757;448;445;448;43;43;44
890;601;791;1120;1088;1118;1106;1064;1055;294;415;442;40;44;40
917;895;911;1079;733;1065;1091;1044;1077;441;453;429;40;41;43
884;894;899;1139;1094;1131;1059;710;1036;451;443;448;43;44;43
905;607;861;1099;1100;1126;1097;1058;1072;300;409;433;42;43;41
925;891;842;1096;746;1042;1064;1058;1095;436;411;440;41;39;43
868;889;919;1131;1090;1039;1064;714;1031;448;448;451;43;41;43
924;602;922;1073;1094;1113;1106;1052;991;302;448;425;42;44;41
917;906;620;1117;742;1128;1056;1052;1101;446;301;451;42;43;44
854;909;922;1132;1098;756;1076;717;1077;450;445;454;42;42;43
856;705;910;1063;1095;1128;1105;1067;728;352;444;412;41;43;40
922;869;619;1037;874;1120;1026;1057;1098;441;300;402;43;43;39
915;884;917;1132;1082;757;994;841;1085;440;443;451;43;42;44
623;859;904;1132;1097;1120;1088;1035;730;425;446;451;41;44;43
917;870;621;764;1042;1122;1090;1058;1093;408;304;291;43;42;41
925;886;917;1134;1093;762;727;1012;1093;445;452;453;43;43;43
620;838;906;1130;1097;1127;1089;1049;732;448;444;438;40;44;43
924;803;720;756;1036;1116;1085;1056;1086;296;344;301;44;40;42
917;893;899;1136;998;888;724;995;1077;450;445;452;43;44;44
617;896;912;1129;1094;1101;1093;968;860;446;447;457;39;43;42
925;585;871;758;1103;1129;1091;1050;1057;302;424;297;41;40;41
926;905;900;1128;744;1078;723;1059;1085;445;447;453;42;40;43
714;891;898;1134;1088;1128;1100;714;1040;448;434;449;43;43;41
905;580;845;883;1096;1122;1089;1053;1072;302;417;348;41;42;42
920;897;833;1126;737;1072;858;1066;1087;443;416;445;43;29;43
868;889;895;1128;1089;1034;1055;718;1023;454;437;435;43;43;40
917;597;912;1079;1100;1129;1088;1051;1002;360;447;423;41;42;40
909;890;613;1136;736;1123;1035;1061;1090;437;307;451;43;29;43
862;872;894;1129;1091;754;1081;715;1091;452;439;448;42;42;43
840;694;914;1054;1098;1108;1091;1049;734;433;450;410;41;43;41
897;870;617;1040;870;1123;1019;1061;1105;445;306;414;43;29;43
915;899;896;1126;1065;759;1001;838;1083;452;454;450;41;42;42
614;849;916;1122;1101;1122;1087;1041;735;430;452;449;43;43;42
912;877;614;759;1048;1129;1088;1064;1067;452;302;305;43;34;43
909;892;903;1131;1077;764;731;1006;1076;452;444;452;39;41;42
614;828;910;1132;1103;1130;1090;1042;730;425;447;447;40;43;42
917;817;710;759;1031;1124;1089;1053;1087;424;348;302;43;40;43
915;894;884;1138;1015;896;734;1010;1080;456;437;451;43;43;42
616;876;919;1123;1096;1116;1091;963;871;450;442;440;41;43;42
907;601;863;772;1095;1128;1083;1062;1062;302;428;303;43;40;43
908;883;900;1124;729;1088;734;1063;1084;452;450;454;43;44;40
717;869;912;1127;1092;1117;1091;702;1047;456;444;449;40;42;43
907;603;853;896;1089;1130;1086;1064;1085;304;412;344;43;40;43
913;879;824;1109;740;1064;858;1064;1086;455;410;441;42;41;40
