ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
707;1445;372;1535;317;385;26;26
786;1096;751;1504;348;380;26;27
382;708;721;1615;211;248;17;18
673;898;1173;2667;377;400;27;26
612;1076;1035;1998;299;420;26;26
712;686;1030;1835;245;264;24;25
485;882;859;1780;364;400;26;24
828;1121;688;2670;338;456;26;26
722;1507;896;2808;205;345;26;24
422;1348;1034;1434;321;365;25;27
647;713;632;1682;317;407;26;27
790;982;1036;1576;307;441;25;24
546;930;919;1501;299;226;24;25
648;1214;413;1806;325;312;26;27
711;1197;908;1287;270;462;25;26
439;1108;671;2478;284;282;24;25
742;913;660;2378;275;296;26;27
723;970;1052;1010;322;343;25;25
324;753;980;1415;318;250;25;26
710;1416;839;1479;339;395;26;27
734;729;1009;1592;334;413;26;24
768;494;823;1376;310;353;19;24
641;1020;1011;1314;318;311;26;27
739;1700;866;2060;299;422;26;25
690;506;734;2163;332;332;18;26
600;1262;732;1927;301;357;25;27
536;1148;719;1446;339;351;24;24
800;792;851;1906;218;349;18;25
802;1307;775;1096;354;351;26;27
652;1229;807;1482;388;409;25;26
495;1127;845;1550;247;375;21;22
472;1037;938;2233;320;394;26;25
903;1046;825;2459;334;343;26;26
714;781;1090;1514;234;368;24;25
544;787;924;2280;394;263;26;27
676;1034;722;2107;368;368;27;25
670;1118;831;1282;236;310;24;26
436;1021;714;2322;281;291;25;22
851;1106;883;1393;336;336;26;25
929;1417;896;1151;244;419;26;27
655;767;959;2261;380;269;18;27
525;884;657;1855;342;359;27;25
741;1262;1136;1794;361;394;26;27
873;628;969;1704;295;285;18;24
676;1111;628;2137;340;371;26;24
743;751;783;2599;363;397;27;25
728;720;1234;1379;179;377;18;27
607;757;586;2218;316;310;25;26
723;880;1147;1445;368;383;25;26
817;1025;856;1185;169;245;21;26
