secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
121;210;393
213;265;438
148;124;210
135;179;107
80;163;206
219;182;164
162;144;232
183;190;313
225;132;248
239;191;308
223;256;359
205;193;145
141;194;297
137;186;286
175;156;255
183;210;314
230;130;444
242;133;166
133;190;325
202;153;378
204;122;286
195;94;308
236;186;227
160;183;244
125;153;311
223;149;149
256;168;342
75;118;199
184;173;208
173;253;408
150;141;259
192;162;196
158;195;251
136;202;140
186;159;396
230;204;273
99;127;168
169;140;168
231;165;207
143;143;262
154;162;351
103;113;319
166;216;332
191;142;159
235;148;302
177;175;356
162;185;219
156;166;480
133;221;175
336;112;436
