ed25519 - x25519;ed25519 - P-256;ed25519 - x25519_mlkem512;ed25519 - p256_mlkem512;ed25519 - mlkem512;ed25519 - x25519_hqc128;ed25519 - p256_hqc128;ed25519 - hqc128
4770;4202;4251;1462;5070;413;394;383
5582;4810;4840;1917;5570;484;432;509
5645;4836;4907;1913;5862;501;415;510
5556;4738;4884;1922;6030;504;425;516
5574;4466;4869;1741;6053;501;436;512
5099;4503;4758;1813;5612;481;400;501
5400;4861;4822;1894;5579;469;427;512
5493;4747;5201;1889;4981;486;429;515
5636;4817;4849;1910;5038;479;433;508
5339;4831;4725;1830;5888;505;435;510
5187;4564;4670;1825;5613;483;411;498
5431;4863;5070;1869;5722;499;430;499
5562;4770;4617;1859;5617;505;435;509
5569;4715;4875;1868;5408;479;434;514
5620;4472;4798;1908;5764;502;408;497
5442;4550;4939;1829;5866;480;419;505
5115;4490;4475;1819;5386;473;397;500
5473;4811;4859;1903;5842;489;430;513
5498;4770;4910;1895;5783;490;435;492
5998;4834;4878;1913;5784;500;432;511
5463;4806;4895;1918;5923;505;434;500
5219;4266;4586;1788;5201;478;410;495
5529;4860;4892;1858;5601;499;433;507
5537;4680;4874;1858;5879;501;437;496
5605;4702;4816;1917;5931;500;436;503
5612;4779;4795;1898;5911;480;429;514
5597;4802;4763;1917;5837;502;427;510
5346;4507;4540;1820;5405;463;404;495
5166;4801;4883;1808;5898;487;436;515
5485;4636;4685;1907;6023;500;433;505
5505;4748;4654;1925;5986;482;431;502
5442;4840;4742;1865;5899;504;412;470
5211;4582;4386;1524;5647;480;392;500
5966;4708;4897;1731;6057;500;434;512
5584;4675;4708;1812;6034;504;436;511
5536;4727;4744;1861;6113;501;428;512
5486;4833;4767;1823;6146;502;424;491
5451;4837;4815;1808;5814;493;430;511
5207;4531;4591;1798;5618;465;414;500
5427;4544;4878;1888;5984;500;433;511
5517;4827;4935;1843;5901;497;435;498
5644;4782;4874;1894;5812;502;433;505
5641;4847;4859;1846;6087;495;436;512
5248;4742;4583;1756;5697;452;411;497
5614;4978;4820;1903;6085;501;435;514
5096;4695;4532;1912;6059;501;429;514
5720;4821;4774;1848;6118;487;423;507
5469;4648;4808;1889;5632;491;427;514
5491;4641;4812;1921;5691;476;424;492
5433;4600;4640;1746;5645;474;399;499
