ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
190;271;226;342;227;353;69;116;24;20
168;268;213;362;243;354;112;106;27;25
200;265;241;244;201;273;115;122;18;26
212;286;245;360;222;349;78;129;26;25
204;287;225;361;239;353;116;130;25;26
207;273;224;253;241;334;117;87;23;27
206;292;244;355;228;323;80;130;25;26
199;283;238;362;236;354;113;131;25;26
211;278;163;347;236;354;118;89;24;27
212;287;246;360;230;238;114;128;27;25
195;278;241;361;237;354;116;133;26;26
192;282;162;342;227;353;118;87;23;27
211;288;244;332;234;238;109;131;24;24
209;277;242;364;237;354;118;131;26;25
141;284;163;362;228;352;117;99;26;26
208;288;238;244;235;240;108;127;24;27
212;271;247;361;240;355;108;129;26;25
140;260;191;363;225;352;117;119;25;28
211;289;239;245;238;279;117;130;26;25
208;288;242;361;233;343;112;130;26;25
139;194;232;364;221;352;117;121;24;26
212;283;245;245;223;339;116;121;23;26
207;287;239;364;239;350;109;130;27;26
160;193;228;364;237;352;116;130;24;27
204;290;220;287;163;333;113;89;26;25
207;287;242;351;237;323;113;130;25;26
191;192;238;363;238;352;119;131;24;26
213;288;165;346;162;353;112;86;25;25
206;293;246;357;241;238;112;130;26;25
199;230;243;364;240;353;118;128;23;28
189;275;164;341;161;352;110;88;24;24
204;286;246;332;237;239;114;130;26;26
209;274;241;363;236;350;117;129;26;27
141;282;163;364;187;354;108;102;25;24
209;287;244;244;240;238;108;130;25;25
206;269;245;361;239;354;115;132;25;26
141;263;194;364;225;353;118;121;25;25
206;289;237;243;218;279;107;132;25;25
211;292;244;363;241;344;116;128;25;27
141;192;233;363;238;354;114;120;26;25
206;285;241;243;159;339;109;121;26;26
209;290;240;361;239;349;115;131;24;26
164;195;227;361;239;354;111;134;26;25
205;290;222;285;163;336;112;90;26;25
208;290;239;352;241;322;115;130;24;26
201;194;246;362;240;352;113;130;26;25
208;289;160;346;158;354;116;87;26;26
209;287;243;357;239;238;114;127;24;26
200;224;246;362;235;353;111;131;24;25
196;281;166;342;189;354;118;88;25;26
